"gene_short_name","pval","qval"
"SERPINE2",1.24932265305825e-280,2.56081539074736e-280
"APCDD1",5.42101927784628e-182,9.35964406254897e-182
"TFPI",0,0
"GPM6B",1.47128698535583e-42,1.80263915344589e-42
"GPC3",0,0
"LIMCH1",0,0
"TGM2",0,0
"LHFP",0,0
"F2R",1.56632825696215e-259,3.07925895970969e-259
"PLEKHH2",7.48907080910704e-193,1.30869621209648e-192
"PLPP3",0,0
"LTBP2",0,0
"ELN",0,0
"CPE",0,0
"LOXL1",0,0
"LTBP1",0,0
"COL8A1",0,0
"FBLN2",0,0
"ITIH5",0,0
"MAMDC2",0,0
"TMEM204",0,0
"COMP",0,0
"SRPX",0,0
"BMP5",0,0
"ABCA8",0,0
"SCARA5",0,0
"FIBIN",0,0
"LEPR",0,0
"ABI3BP",0,0
"OMD",0,0
"SCN7A",0,0
"ASPN",0,0
"ABCA6",0,0
"FAM46A",1.58478724376632e-212,2.87991799549973e-212
"RBM5",0.0001710197957849,0.000178231473920408
"MEG3",0,0
"SEPP1",0,0
"SELM",0,0
"PLA2G2A",0,0
"TMEM100",0,0
"OGN",0,0
"TNFAIP6",0,0
"WNT2",1.05223171001747e-310,2.28115395780731e-310
"GUCY1A3",0,0
"DIO2",0,0
"INMT",0,0
"HSD11B1",0,0
"IGF1",0,0
"MFAP4",0,0
"C7",0,0
"CXCL12",0,0
"PTGDS",0,0
"ITGBL1",0,0
"BGN",0,0
"THY1",0,0
"ANGPTL1",0,0
"TCF21",0,0
"WISP2",0,0
"TDO2",2.47907248402828e-292,5.16722337032401e-292
"DPT",0,0
"PRG4",0,0
"HDC",5.52775623930975e-212,1.00241281907818e-211
"MS4A2",0,0
"HPGDS",0,0
"GPR65",0,0
"SLC18A2",1.11084842481175e-274,2.22942897323008e-274
"CTSG",0,0
"IL1RL1",0,0
"RGS13",0,0
"CPA3",0,0
"GATA2",4.43282410598587e-247,8.539850449171e-247
"RP11-354E11.2",9.37488027878104e-254,1.82230818902148e-253
"EVI2A",3.3485667716089e-171,5.66831752924012e-171
"TPSB2",0,0
"TPSAB1",0,0
"RENBP",8.66472982179405e-135,1.31722166886676e-134
"CST7",2.14739982269253e-129,3.20811890609505e-129
"LAT2",3.8719327868613e-133,5.83488129030492e-133
"FCER1A",0,0
"C1orf186",0,0
"CD52",0,0
"ALOX5AP",0,0
"CD69",0,0
"RHOH",0,0
"ALOX5",3.67637304233236e-133,5.5498476118979e-133
"PTGS1",2.68685873310499e-121,3.93254281579664e-121
"PTPRC",1.91715691384487e-155,3.07669894336885e-155
"BCL2A1",2.88331992575592e-258,5.64269623479383e-258
"SAMSN1",0,0
"SMIM3",0,0
"TMEM176B",0,0
"LGALS1",0,0
"TIMP1",0,0
"GLRX",7.09268388958163e-277,1.4301099217921e-276
"LXN",0,0
"MGP",0,0
"DLC1",2.04912941692872e-26,2.36964832305259e-26
"IFI6",2.18351168227095e-304,4.66354964238116e-304
"HILPDA",2.59189033484126e-91,3.55306678231012e-91
"FGL2",5.43184954062984e-208,9.74802873992699e-208
"PROS1",2.68981095125862e-164,4.42335831338157e-164
"FN1",0,0
"RARRES2",0,0
"CFD",0,0
"CTSC",5.73838313779877e-117,8.30050403711695e-117
"APOD",0,0
"TMEM176A",0,0
"CST3",0,0
"GLA",2.00981824942662e-58,2.59089833942478e-58
"CREB3L2",2.68034402022587e-55,3.39457917642076e-55
"GPNMB",0,0
"ST3GAL4",0,0
"FKBP5",0,0
"GYPC",0,0
"CLU",9.11131411503512e-138,1.3973912605506e-137
"DCN",0,0
"SPARC",0,0
"LUM",0,0
"MT2A",0,0
"COX7A1",0,0
"ARHGAP15",2.69406778688658e-181,4.64216859692607e-181
"ZEB2",0,0
"CNRIP1",0,0
"MAOB",0,0
"NR3C1",1.52958834322608e-118,2.22368725527825e-118
"CLEC2B",3.96069019784011e-97,5.51690341567101e-97
"TUBA1A",0,0
"LGMN",5.87723071780904e-93,8.12109356374572e-93
"S100A4",0,0
"APOE",0,0
"CTSL",0,0
"VIM",0,0
"GSTM3",2.47375456182105e-232,4.65173412168524e-232
"EMP3",0,0
"RSRC1",6.89198473932194e-25,7.92761542488494e-25
"SDCBP",0,0
"IFI27",3.78481149889804e-06,3.97796105291228e-06
"FTH1",0,0
"FTL",0,0
"TUBA1B",3.45845952088873e-323,7.90505033345994e-323
"B2M",0,0
"TSC22D3",0,0
"BST2",4.87686376287521e-181,8.38665438347327e-181
"LAPTM4A",0,0
"TMSB4X",0,0
"ISG15",8.61132937774988e-57,1.09702502382233e-56
"ITM2A",1.18913888925207e-283,2.44905985524533e-283
"SLC2A3",0,0
"AKAP13",2.48256776685722e-315,5.43650915945735e-315
"BTN3A2",7.30766676246041e-51,9.13458345307552e-51
