	Basal cell_IPF	Ciliated cell_IPF	Ionocyte cell_IPF	Macrophage_IPF	Myofibroblast_IPF	secretory cell_IPF	SLC16A7+ cell_IPF	Type II pneumocyte_IPF
Basal cell_IPF	0.03255796	0.01084033	0.014177134	0.227082486	0.009754463	0.010594411	0.110679468	0.240354086
Ciliated cell_IPF	0.026246869	0	0.011667413	0.168315842	0.001946608	0.000605842	0.0959135	0.025300957
Ionocyte cell_IPF	0.01297476	0.012841501	0.01002113	0.102384361	0.016229979	0.010957281	0.075584748	0.022679215
Macrophage_IPF	0.058634555	0	0.042921627	0.17635283	0.014272122	0.005598485	0.176672301	0.015147166
Myofibroblast_IPF	0.012779293	0.013048254	0.012799668	0.063139177	0.021621896	0.015737109	0.028269848	0.023352321
secretory cell_IPF	0.062751533	0.040474631	0.031601108	0.204614781	0.039046646	0.038470894	0.171211076	0.088565605
SLC16A7+ cell_IPF	0	0	0.004558007	0.022477592	0	0.00171778	0.041697007	0
Type II pneumocyte_IPF	0.067264688	0.036506577	0.045960701	0.311274133	0.03849841	0.034887706	0.17880905	0.086706789
